model_id,task,budget,n,mean_lora_minus_icl,ci_low,ci_high,median_lora_minus_icl,min_lora_minus_icl,max_lora_minus_icl,direction_by_threshold
Qwen/Qwen3-0.6B,mrpc,1,5,-0.05390625,-0.1046875,-0.003125,-0.015625,-0.1328125,0.0,ICL
Qwen/Qwen3-0.6B,mrpc,2,5,-0.10703125,-0.1609375,-0.053125,-0.1171875,-0.19921875,-0.03125,ICL
Qwen/Qwen3-0.6B,mrpc,4,5,-0.0609375,-0.09921875,-0.0265625,-0.0546875,-0.12890625,-0.01171875,ICL
Qwen/Qwen3-0.6B,mrpc,8,5,-0.1359375,-0.16328125,-0.10234375,-0.15234375,-0.16796875,-0.07421875,ICL
Qwen/Qwen3-0.6B,mrpc,16,5,-0.134375,-0.17890625,-0.07109375,-0.17578125,-0.1796875,-0.01953125,ICL
Qwen/Qwen3-0.6B,mrpc,32,5,-0.08671875,-0.11015625,-0.06328125,-0.08984375,-0.125,-0.0546875,ICL
Qwen/Qwen3-0.6B,rte,1,5,-0.121875,-0.134375,-0.1,-0.1328125,-0.13671875,-0.078125,ICL
Qwen/Qwen3-0.6B,rte,2,5,-0.09609375,-0.15078125,-0.04453125,-0.06640625,-0.17578125,-0.01171875,ICL
Qwen/Qwen3-0.6B,rte,4,5,-0.05078125,-0.13828125,0.03671875,-0.01171875,-0.17578125,0.08984375,ICL
Qwen/Qwen3-0.6B,rte,8,5,-0.109375,-0.16328125,-0.0546875,-0.09375,-0.18359375,-0.04296875,ICL
Qwen/Qwen3-0.6B,rte,16,5,-0.0578125,-0.09765625,-0.015625,-0.07421875,-0.125,0.0234375,ICL
Qwen/Qwen3-0.6B,rte,32,5,0.06328125,0.040625,0.0859375,0.0625,0.02734375,0.09765625,LoRA
Qwen/Qwen3-0.6B,sst2,1,5,0.04296875,-0.03984375,0.10078125,0.05859375,-0.11328125,0.12890625,LoRA
Qwen/Qwen3-0.6B,sst2,2,5,-0.0125,-0.0859375,0.04453125,0.00390625,-0.15234375,0.05859375,tie
Qwen/Qwen3-0.6B,sst2,4,5,-0.0421875,-0.0890625,0.0109375,-0.046875,-0.1171875,0.05078125,ICL
Qwen/Qwen3-0.6B,sst2,8,5,-0.053125,-0.084375,-0.0140625,-0.05859375,-0.09765625,0.01953125,ICL
Qwen/Qwen3-0.6B,sst2,16,5,-0.06953125,-0.09296875,-0.04921875,-0.06640625,-0.109375,-0.03515625,ICL
Qwen/Qwen3-0.6B,sst2,32,5,-0.0265625,-0.0296875,-0.0234375,-0.0234375,-0.03125,-0.0234375,ICL
