model_id,task,method,n,parser_success_min,parser_success_mean,parser_failure_total
Qwen/Qwen3-0.6B,mrpc,ICL,35,1.0,1.0,0
Qwen/Qwen3-0.6B,mrpc,LoRA,30,1.0,1.0,0
Qwen/Qwen3-0.6B,rte,ICL,35,1.0,1.0,0
Qwen/Qwen3-0.6B,rte,LoRA,30,1.0,1.0,0
Qwen/Qwen3-0.6B,sst2,ICL,35,1.0,1.0,0
Qwen/Qwen3-0.6B,sst2,LoRA,30,1.0,1.0,0
Qwen/Qwen3-0.6B,trec,ICL,35,1.0,1.0,0
Qwen/Qwen3-0.6B,trec,LoRA,30,1.0,1.0,0
Qwen/Qwen3-1.7B,mrpc,ICL,35,1.0,1.0,0
Qwen/Qwen3-1.7B,mrpc,LoRA,30,1.0,1.0,0
Qwen/Qwen3-1.7B,rte,ICL,35,1.0,1.0,0
Qwen/Qwen3-1.7B,rte,LoRA,30,1.0,1.0,0
Qwen/Qwen3-1.7B,sst2,ICL,35,0.9921875,0.9991071428571429,8
Qwen/Qwen3-1.7B,sst2,LoRA,30,0.984375,0.99765625,18
Qwen/Qwen3-1.7B,trec,ICL,35,1.0,1.0,0
Qwen/Qwen3-1.7B,trec,LoRA,30,1.0,1.0,0
Qwen/Qwen3-4B,mrpc,ICL,35,1.0,1.0,0
Qwen/Qwen3-4B,mrpc,LoRA,30,1.0,1.0,0
Qwen/Qwen3-4B,rte,ICL,35,1.0,1.0,0
Qwen/Qwen3-4B,rte,LoRA,30,1.0,1.0,0
Qwen/Qwen3-4B,sst2,ICL,35,0.99609375,0.9988839285714286,10
Qwen/Qwen3-4B,sst2,LoRA,30,0.99609375,0.9967447916666666,25
Qwen/Qwen3-4B,trec,ICL,35,1.0,1.0,0
Qwen/Qwen3-4B,trec,LoRA,30,1.0,1.0,0
