model_id,task,method,budget,n,accuracy_std_across_seeds,accuracy_range_across_seeds
Qwen/Qwen3-0.6B,mrpc,ICL,0,5,0.0,0.0
Qwen/Qwen3-0.6B,mrpc,ICL,1,5,0.06711478623410791,0.1328125
Qwen/Qwen3-0.6B,mrpc,ICL,16,5,0.06947197262543184,0.16015625
Qwen/Qwen3-0.6B,mrpc,ICL,2,5,0.070453417816535,0.16796875
Qwen/Qwen3-0.6B,mrpc,ICL,32,5,0.019255871162290997,0.05078125
Qwen/Qwen3-0.6B,mrpc,ICL,4,5,0.04651554889563811,0.1171875
Qwen/Qwen3-0.6B,mrpc,ICL,8,5,0.03910154298825687,0.09375
Qwen/Qwen3-0.6B,mrpc,LoRA,1,5,0.0,0.0
Qwen/Qwen3-0.6B,mrpc,LoRA,16,5,0.0,0.0
Qwen/Qwen3-0.6B,mrpc,LoRA,2,5,0.0,0.0
Qwen/Qwen3-0.6B,mrpc,LoRA,32,5,0.01941370881217059,0.05078125
Qwen/Qwen3-0.6B,mrpc,LoRA,4,5,0.0,0.0
Qwen/Qwen3-0.6B,mrpc,LoRA,8,5,0.0,0.0
Qwen/Qwen3-0.6B,rte,ICL,0,5,0.002139541240254555,0.00390625
Qwen/Qwen3-0.6B,rte,ICL,1,5,0.021993262906655073,0.05078125
Qwen/Qwen3-0.6B,rte,ICL,16,5,0.05214514561239138,0.140625
Qwen/Qwen3-0.6B,rte,ICL,2,5,0.06896495161153417,0.16015625
Qwen/Qwen3-0.6B,rte,ICL,32,5,0.02366426754822025,0.05078125
Qwen/Qwen3-0.6B,rte,ICL,4,5,0.11243623409862699,0.25390625
Qwen/Qwen3-0.6B,rte,ICL,8,5,0.06830913332280318,0.14453125
Qwen/Qwen3-0.6B,rte,LoRA,1,5,0.004453810254293508,0.01171875
Qwen/Qwen3-0.6B,rte,LoRA,16,5,0.004453810254293508,0.01171875
Qwen/Qwen3-0.6B,rte,LoRA,2,5,0.0032682032286487327,0.0078125
Qwen/Qwen3-0.6B,rte,LoRA,32,5,0.0078125,0.01953125
Qwen/Qwen3-0.6B,rte,LoRA,4,5,0.004784159653873394,0.01171875
Qwen/Qwen3-0.6B,rte,LoRA,8,5,0.0034938562148434213,0.0078125
Qwen/Qwen3-0.6B,sst2,ICL,0,5,0.049978633129881114,0.11328125
Qwen/Qwen3-0.6B,sst2,ICL,1,5,0.08500021541792556,0.23046875
Qwen/Qwen3-0.6B,sst2,ICL,16,5,0.030181943393877902,0.08203125
Qwen/Qwen3-0.6B,sst2,ICL,2,5,0.08232833109909675,0.2109375
Qwen/Qwen3-0.6B,sst2,ICL,32,5,0.03154160818466617,0.078125
Qwen/Qwen3-0.6B,sst2,ICL,4,5,0.05367363761661771,0.1328125
Qwen/Qwen3-0.6B,sst2,ICL,8,5,0.03847210078826603,0.09765625
Qwen/Qwen3-0.6B,sst2,LoRA,1,5,0.015378921628929319,0.03515625
Qwen/Qwen3-0.6B,sst2,LoRA,16,5,0.009407495764681481,0.0234375
Qwen/Qwen3-0.6B,sst2,LoRA,2,5,0.016247370580535485,0.03515625
Qwen/Qwen3-0.6B,sst2,LoRA,32,5,0.030757843257858637,0.0703125
Qwen/Qwen3-0.6B,sst2,LoRA,4,5,0.017160845809756874,0.04296875
Qwen/Qwen3-0.6B,sst2,LoRA,8,5,0.012536567606157198,0.03125
Qwen/Qwen3-0.6B,trec,ICL,0,5,0.012228496751951975,0.0234375
Qwen/Qwen3-0.6B,trec,ICL,1,5,0.04976445985684713,0.11328125
Qwen/Qwen3-0.6B,trec,ICL,16,5,0.03398661989711907,0.08984375
Qwen/Qwen3-0.6B,trec,ICL,2,5,0.061664335189597234,0.16796875
Qwen/Qwen3-0.6B,trec,ICL,32,5,0.050706074163074884,0.11328125
