method,model_id,task,budget,rows,eval_examples_total,implied_unparsed_outputs_total,stored_neutral_samples_total,unparsed_rate,min_parser_success,mean_strict_minus_parsed_accuracy
ICL,Qwen/Qwen3-0.6B,sst2,0,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-0.6B,sst2,1,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-0.6B,sst2,2,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-0.6B,sst2,4,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-0.6B,sst2,8,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-0.6B,sst2,16,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-0.6B,sst2,32,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-1.7B,sst2,0,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-1.7B,sst2,1,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-1.7B,sst2,2,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-1.7B,sst2,4,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-1.7B,sst2,8,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-1.7B,sst2,16,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-1.7B,sst2,32,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-4B,sst2,0,3,768,2,2,0.0026041666666666665,0.99609375,-0.002384599673202592
ICL,Qwen/Qwen3-4B,sst2,1,3,768,1,1,0.0013020833333333333,0.99609375,-0.001194852941176457
ICL,Qwen/Qwen3-4B,sst2,2,3,768,1,1,0.0013020833333333333,0.99609375,-0.0011999591503267792
ICL,Qwen/Qwen3-4B,sst2,4,3,768,1,1,0.0013020833333333333,0.99609375,-0.001189746732026135
ICL,Qwen/Qwen3-4B,sst2,8,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-4B,sst2,16,3,768,0,0,0.0,1.0,0.0
ICL,Qwen/Qwen3-4B,sst2,32,3,768,0,0,0.0,1.0,0.0
LoRA,Qwen/Qwen3-0.6B,sst2,1,3,768,0,0,0.0,1.0,0.0
LoRA,Qwen/Qwen3-0.6B,sst2,2,3,768,0,0,0.0,1.0,0.0
LoRA,Qwen/Qwen3-0.6B,sst2,4,3,768,0,0,0.0,1.0,0.0
LoRA,Qwen/Qwen3-0.6B,sst2,8,3,768,0,0,0.0,1.0,0.0
LoRA,Qwen/Qwen3-0.6B,sst2,16,3,768,0,0,0.0,1.0,0.0
LoRA,Qwen/Qwen3-0.6B,sst2,32,3,768,0,0,0.0,1.0,0.0
LoRA,Qwen/Qwen3-1.7B,sst2,1,3,768,0,0,0.0,1.0,0.0
LoRA,Qwen/Qwen3-1.7B,sst2,2,3,768,1,1,0.0013020833333333333,0.99609375,-0.001031454248366
LoRA,Qwen/Qwen3-1.7B,sst2,4,3,768,1,1,0.0013020833333333333,0.99609375,-0.001026348039215678
LoRA,Qwen/Qwen3-1.7B,sst2,8,3,768,1,1,0.0013020833333333333,0.99609375,-0.001031454248366
LoRA,Qwen/Qwen3-1.7B,sst2,16,3,768,1,1,0.0013020833333333333,0.99609375,-0.001031454248366
LoRA,Qwen/Qwen3-1.7B,sst2,32,3,768,3,3,0.00390625,0.99609375,-0.0031198937908496482
LoRA,Qwen/Qwen3-4B,sst2,1,3,768,3,3,0.00390625,0.99609375,-0.003574346405228764
LoRA,Qwen/Qwen3-4B,sst2,2,3,768,3,3,0.00390625,0.99609375,-0.003574346405228764
LoRA,Qwen/Qwen3-4B,sst2,4,3,768,3,3,0.00390625,0.99609375,-0.0035692401960784417
LoRA,Qwen/Qwen3-4B,sst2,8,3,768,3,3,0.00390625,0.99609375,-0.003584558823529408
LoRA,Qwen/Qwen3-4B,sst2,16,3,768,2,2,0.0026041666666666665,0.99609375,-0.0023948120915032733
LoRA,Qwen/Qwen3-4B,sst2,32,3,768,2,2,0.0026041666666666665,0.99609375,-0.0023897058823529513
