method,model_id,task,budget,n,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,parser_success_min,parser_success_mean,runtime_sec_mean,runtime_sec_sum
ICL,Qwen/Qwen3-0.6B,mrpc,0,5,0.5,0.0,0.5,0.5,1.0,1.0,29.87496111639557,149.37480558197785
ICL,Qwen/Qwen3-0.6B,mrpc,1,5,0.55390625,0.06711478623410791,0.5,0.6328125,1.0,1.0,24.277408395204837,121.3870419760242
ICL,Qwen/Qwen3-0.6B,mrpc,16,5,0.634375,0.06947197262543184,0.51953125,0.6796875,1.0,1.0,24.397671663796064,121.98835831898032
ICL,Qwen/Qwen3-0.6B,mrpc,2,5,0.60703125,0.070453417816535,0.53125,0.69921875,1.0,1.0,24.2660997733954,121.330498866977
ICL,Qwen/Qwen3-0.6B,mrpc,32,5,0.6734375,0.019255871162290997,0.65234375,0.703125,1.0,1.0,22.926227391201973,114.63113695600987
ICL,Qwen/Qwen3-0.6B,mrpc,4,5,0.5609375,0.04651554889563811,0.51171875,0.62890625,1.0,1.0,24.302626991400757,121.51313495700379
ICL,Qwen/Qwen3-0.6B,mrpc,8,5,0.6359375,0.03910154298825687,0.57421875,0.66796875,1.0,1.0,24.242767499602632,121.21383749801316
LoRA,Qwen/Qwen3-0.6B,mrpc,1,5,0.5,0.0,0.5,0.5,1.0,1.0,38.445209932798754,192.22604966399376
LoRA,Qwen/Qwen3-0.6B,mrpc,16,5,0.5,0.0,0.5,0.5,1.0,1.0,40.16830866219898,200.8415433109949
LoRA,Qwen/Qwen3-0.6B,mrpc,2,5,0.5,0.0,0.5,0.5,1.0,1.0,38.641709717790945,193.20854858895473
LoRA,Qwen/Qwen3-0.6B,mrpc,32,5,0.58671875,0.01941370881217059,0.55859375,0.609375,1.0,1.0,41.70679834679686,208.5339917339843
LoRA,Qwen/Qwen3-0.6B,mrpc,4,5,0.5,0.0,0.5,0.5,1.0,1.0,38.92631663720677,194.63158318603382
LoRA,Qwen/Qwen3-0.6B,mrpc,8,5,0.5,0.0,0.5,0.5,1.0,1.0,39.90202126501244,199.51010632506222
ICL,Qwen/Qwen3-0.6B,rte,0,5,0.58359375,0.002139541240254555,0.58203125,0.5859375,1.0,1.0,29.906275115195605,149.53137557597802
ICL,Qwen/Qwen3-0.6B,rte,1,5,0.71796875,0.021993262906655073,0.6796875,0.73046875,1.0,1.0,28.227654681998683,141.13827340999342
ICL,Qwen/Qwen3-0.6B,rte,16,5,0.69609375,0.05214514561239138,0.6171875,0.7578125,1.0,1.0,27.50173925659765,137.50869628298824
ICL,Qwen/Qwen3-0.6B,rte,2,5,0.690625,0.06896495161153417,0.60546875,0.765625,1.0,1.0,27.52424137739654,137.6212068869827
ICL,Qwen/Qwen3-0.6B,rte,32,5,0.6515625,0.02366426754822025,0.625,0.67578125,1.0,1.0,27.707600317797187,138.53800158898594
ICL,Qwen/Qwen3-0.6B,rte,4,5,0.64453125,0.11243623409862699,0.51171875,0.765625,1.0,1.0,28.60989562500181,143.04947812500905
ICL,Qwen/Qwen3-0.6B,rte,8,5,0.709375,0.06830913332280318,0.640625,0.78515625,1.0,1.0,27.427909228803763,137.13954614401882
LoRA,Qwen/Qwen3-0.6B,rte,1,5,0.59609375,0.004453810254293508,0.58984375,0.6015625,1.0,1.0,38.93302363760231,194.66511818801155
LoRA,Qwen/Qwen3-0.6B,rte,16,5,0.63828125,0.004453810254293508,0.6328125,0.64453125,1.0,1.0,40.098846699801655,200.49423349900826
LoRA,Qwen/Qwen3-0.6B,rte,2,5,0.59453125,0.0032682032286487327,0.58984375,0.59765625,1.0,1.0,39.293530693402865,196.46765346701432
LoRA,Qwen/Qwen3-0.6B,rte,32,5,0.71484375,0.0078125,0.703125,0.72265625,1.0,1.0,42.25076314260441,211.25381571302205
LoRA,Qwen/Qwen3-0.6B,rte,4,5,0.59375,0.004784159653873394,0.58984375,0.6015625,1.0,1.0,38.929080797192725,194.64540398596364
LoRA,Qwen/Qwen3-0.6B,rte,8,5,0.6,0.0034938562148434213,0.59765625,0.60546875,1.0,1.0,39.52012186539723,197.60060932698616
ICL,Qwen/Qwen3-0.6B,sst2,0,5,0.690625,0.049978633129881114,0.65234375,0.765625,1.0,1.0,24.449378402800356,122.24689201400179
ICL,Qwen/Qwen3-0.6B,sst2,1,5,0.69140625,0.08500021541792556,0.59765625,0.828125,1.0,1.0,24.291050298798655,121.45525149399327
ICL,Qwen/Qwen3-0.6B,sst2,16,5,0.85625,0.030181943393877902,0.82421875,0.90625,1.0,1.0,24.762187503003226,123.81093751501612
ICL,Qwen/Qwen3-0.6B,sst2,2,5,0.75703125,0.08232833109909675,0.671875,0.8828125,1.0,1.0,24.225539478995778,121.1276973949789
ICL,Qwen/Qwen3-0.6B,sst2,32,5,0.86640625,0.03154160818466617,0.83203125,0.91015625,1.0,1.0,24.66214525360265,123.31072626801324
ICL,Qwen/Qwen3-0.6B,sst2,4,5,0.78671875,0.05367363761661771,0.70703125,0.83984375,1.0,1.0,24.42125389980065,122.10626949900325
ICL,Qwen/Qwen3-0.6B,sst2,8,5,0.80859375,0.03847210078826603,0.7421875,0.83984375,1.0,1.0,24.50111339300056,122.5055669650028
LoRA,Qwen/Qwen3-0.6B,sst2,1,5,0.734375,0.015378921628929319,0.71484375,0.75,1.0,1.0,32.04362725920655,160.21813629603275
LoRA,Qwen/Qwen3-0.6B,sst2,16,5,0.78671875,0.009407495764681481,0.7734375,0.796875,1.0,1.0,33.889425028597906,169.44712514298953
