model_id,task,budget,seed,cell_tag,eval_split,eval_protocol,official_glue_test_labels_used,icl_accuracy,lora_accuracy,lora_minus_icl_accuracy,icl_parser_success,lora_parser_success,n,mean_lora_minus_icl_accuracy,min_lora_minus_icl_accuracy,max_lora_minus_icl_accuracy,heldout_direction_at_threshold_0_02,mean_icl_accuracy,mean_lora_accuracy,min_parser_success
Qwen/Qwen3-0.6B,sst2,1,7,crossover_small_sst2,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,False,0.89453125,0.80859375,-0.0859375,1.0,1.0,,,,,,,,
Qwen/Qwen3-0.6B,sst2,1,13,crossover_small_sst2,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,False,0.8671875,0.796875,-0.0703125,1.0,1.0,,,,,,,,
Qwen/Qwen3-0.6B,sst2,1,21,crossover_small_sst2,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,False,0.65625,0.80859375,0.15234375,1.0,1.0,,,,,,,,
Qwen/Qwen3-0.6B,sst2,1,42,crossover_small_sst2,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,False,0.734375,0.78515625,0.05078125,1.0,1.0,,,,,,,,
Qwen/Qwen3-0.6B,sst2,1,55,crossover_small_sst2,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,False,0.640625,0.78125,0.140625,1.0,1.0,,,,,,,,
Qwen/Qwen3-0.6B,trec,8,7,icl_favored_trec,test,publicly labeled TREC standard test split capped by deterministic stratified sampling,False,0.44921875,0.21484375,-0.234375,1.0,1.0,,,,,,,,
Qwen/Qwen3-0.6B,trec,8,13,icl_favored_trec,test,publicly labeled TREC standard test split capped by deterministic stratified sampling,False,0.43359375,0.23828125,-0.1953125,1.0,1.0,,,,,,,,
Qwen/Qwen3-0.6B,trec,8,21,icl_favored_trec,test,publicly labeled TREC standard test split capped by deterministic stratified sampling,False,0.51953125,0.25390625,-0.265625,1.0,1.0,,,,,,,,
Qwen/Qwen3-0.6B,trec,8,42,icl_favored_trec,test,publicly labeled TREC standard test split capped by deterministic stratified sampling,False,0.51953125,0.234375,-0.28515625,1.0,1.0,,,,,,,,
Qwen/Qwen3-0.6B,trec,8,55,icl_favored_trec,test,publicly labeled TREC standard test split capped by deterministic stratified sampling,False,0.46875,0.23046875,-0.23828125,1.0,1.0,,,,,,,,
Qwen/Qwen3-1.7B,rte,16,7,strong_lora_rte,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,False,0.71875,0.828125,0.109375,1.0,1.0,,,,,,,,
Qwen/Qwen3-1.7B,rte,16,13,strong_lora_rte,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,False,0.65625,0.8359375,0.1796875,1.0,1.0,,,,,,,,
Qwen/Qwen3-1.7B,rte,16,21,strong_lora_rte,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,False,0.78125,0.86328125,0.08203125,1.0,1.0,,,,,,,,
Qwen/Qwen3-1.7B,rte,16,42,strong_lora_rte,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,False,0.859375,0.87890625,0.01953125,1.0,1.0,,,,,,,,
Qwen/Qwen3-1.7B,rte,16,55,strong_lora_rte,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,False,0.76953125,0.84375,0.07421875,1.0,1.0,,,,,,,,
Qwen/Qwen3-1.7B,trec,32,7,icl_favored_trec_feasible,test,publicly labeled TREC standard test split capped by deterministic stratified sampling,False,0.62109375,0.421875,-0.19921875,1.0,1.0,,,,,,,,
Qwen/Qwen3-1.7B,trec,32,13,icl_favored_trec_feasible,test,publicly labeled TREC standard test split capped by deterministic stratified sampling,False,0.62109375,0.4453125,-0.17578125,1.0,1.0,,,,,,,,
Qwen/Qwen3-1.7B,trec,32,21,icl_favored_trec_feasible,test,publicly labeled TREC standard test split capped by deterministic stratified sampling,False,0.65234375,0.453125,-0.19921875,1.0,1.0,,,,,,,,
Qwen/Qwen3-1.7B,trec,32,42,icl_favored_trec_feasible,test,publicly labeled TREC standard test split capped by deterministic stratified sampling,False,0.63671875,0.4609375,-0.17578125,1.0,1.0,,,,,,,,
Qwen/Qwen3-1.7B,trec,32,55,icl_favored_trec_feasible,test,publicly labeled TREC standard test split capped by deterministic stratified sampling,False,0.625,0.44140625,-0.18359375,1.0,1.0,,,,,,,,
Qwen/Qwen3-4B,mrpc,8,7,mrpc_crossover,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,False,0.81640625,0.7734375,-0.04296875,1.0,1.0,,,,,,,,
Qwen/Qwen3-4B,mrpc,8,13,mrpc_crossover,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,False,0.73046875,0.6875,-0.04296875,1.0,1.0,,,,,,,,
Qwen/Qwen3-4B,mrpc,8,21,mrpc_crossover,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,False,0.703125,0.65234375,-0.05078125,1.0,1.0,,,,,,,,
Qwen/Qwen3-4B,mrpc,8,42,mrpc_crossover,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,False,0.7890625,0.7265625,-0.0625,1.0,1.0,,,,,,,,
Qwen/Qwen3-4B,mrpc,8,55,mrpc_crossover,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,False,0.78515625,0.73828125,-0.046875,1.0,1.0,,,,,,,,
Qwen/Qwen3-0.6B,sst2,1,,crossover_small_sst2,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,,,,,,,5,0.0375,-0.0859375,0.15234375,LoRA,0.75859375,0.79609375,1.0
Qwen/Qwen3-0.6B,trec,8,,icl_favored_trec,test,publicly labeled TREC standard test split capped by deterministic stratified sampling,,,,,,,5,-0.24375,-0.28515625,-0.1953125,ICL/tie,0.478125,0.234375,1.0
Qwen/Qwen3-1.7B,rte,16,,strong_lora_rte,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,,,,,,,5,0.09296875,0.01953125,0.1796875,LoRA,0.75703125,0.85,1.0
Qwen/Qwen3-1.7B,trec,32,,icl_favored_trec_feasible,test,publicly labeled TREC standard test split capped by deterministic stratified sampling,,,,,,,5,-0.18671875,-0.19921875,-0.17578125,ICL/tie,0.63125,0.44453125,1.0
Qwen/Qwen3-4B,mrpc,8,,mrpc_crossover,train_internal_holdout,deterministic train-internal holdout because standard GLUE test labels are not publicly available locally,,,,,,,5,-0.04921875,-0.0625,-0.04296875,ICL/tie,0.76484375,0.715625,1.0
