audit_family,model_id,task,budget,cell_tag,variant,n,accuracy_mean,accuracy_min,accuracy_max,parser_success_min,accuracy_range
prompt_variant,Qwen/Qwen3-0.6B,sst2,1,crossover_small_sst2,canonical,3,0.8216145833333334,0.75390625,0.87109375,1.0,
prompt_variant,Qwen/Qwen3-0.6B,sst2,1,crossover_small_sst2,compact,3,0.6575520833333334,0.5859375,0.7265625,0.9453125,
prompt_variant,Qwen/Qwen3-0.6B,sst2,1,crossover_small_sst2,reverse_demo_order,3,0.8216145833333334,0.75390625,0.87109375,1.0,
prompt_variant,Qwen/Qwen3-0.6B,trec,8,icl_favored_trec,canonical,3,0.52734375,0.46875,0.5625,1.0,
prompt_variant,Qwen/Qwen3-0.6B,trec,8,icl_favored_trec,compact,3,0.25,0.1640625,0.328125,1.0,
prompt_variant,Qwen/Qwen3-0.6B,trec,8,icl_favored_trec,reverse_demo_order,3,0.5169270833333334,0.44140625,0.58203125,1.0,
prompt_variant,Qwen/Qwen3-1.7B,rte,16,strong_lora_rte,canonical,3,0.6927083333333334,0.6796875,0.71484375,1.0,
prompt_variant,Qwen/Qwen3-1.7B,rte,16,strong_lora_rte,compact,3,0.48828125,0.37890625,0.57421875,0.5703125,
prompt_variant,Qwen/Qwen3-1.7B,rte,16,strong_lora_rte,reverse_demo_order,3,0.71484375,0.6875,0.74609375,1.0,
prompt_variant,Qwen/Qwen3-4B,mrpc,8,mrpc_crossover,canonical,3,0.7122395833333334,0.703125,0.72265625,1.0,
prompt_variant,Qwen/Qwen3-4B,mrpc,8,mrpc_crossover,compact,3,0.5481770833333334,0.51171875,0.578125,1.0,
prompt_variant,Qwen/Qwen3-4B,mrpc,8,mrpc_crossover,reverse_demo_order,3,0.7109375,0.69140625,0.73046875,1.0,
prompt_variant,Qwen/Qwen3-4B,sst2,32,near_tie_large_sst2,canonical,3,0.921875,0.9140625,0.92578125,1.0,
prompt_variant,Qwen/Qwen3-4B,sst2,32,near_tie_large_sst2,compact,3,0.9049479166666666,0.88671875,0.91796875,0.98828125,
prompt_variant,Qwen/Qwen3-4B,sst2,32,near_tie_large_sst2,reverse_demo_order,3,0.92578125,0.921875,0.9296875,1.0,
lora_rank,Qwen/Qwen3-0.6B,sst2,1,crossover_small_sst2,rank2,3,0.73046875,0.71875,0.7421875,1.0,
lora_rank,Qwen/Qwen3-0.6B,sst2,1,crossover_small_sst2,rank4,3,0.7356770833333334,0.7265625,0.75,1.0,
lora_rank,Qwen/Qwen3-0.6B,sst2,1,crossover_small_sst2,rank8,3,0.7330729166666666,0.71484375,0.75390625,1.0,
lora_rank,Qwen/Qwen3-0.6B,trec,8,icl_favored_trec,rank2,3,0.18619791666666666,0.17578125,0.203125,1.0,
lora_rank,Qwen/Qwen3-0.6B,trec,8,icl_favored_trec,rank4,3,0.1875,0.17578125,0.203125,1.0,
lora_rank,Qwen/Qwen3-0.6B,trec,8,icl_favored_trec,rank8,3,0.203125,0.19140625,0.22265625,1.0,
lora_rank,Qwen/Qwen3-1.7B,rte,16,strong_lora_rte,rank2,3,0.8138020833333334,0.80859375,0.8203125,1.0,
lora_rank,Qwen/Qwen3-1.7B,rte,16,strong_lora_rte,rank4,3,0.8216145833333334,0.8203125,0.82421875,1.0,
lora_rank,Qwen/Qwen3-1.7B,rte,16,strong_lora_rte,rank8,3,0.8229166666666666,0.8203125,0.82421875,1.0,
lora_rank,Qwen/Qwen3-4B,mrpc,8,mrpc_crossover,rank2,3,0.7421875,0.73046875,0.75,1.0,
lora_rank,Qwen/Qwen3-4B,mrpc,8,mrpc_crossover,rank4,3,0.7434895833333334,0.734375,0.75,1.0,
lora_rank,Qwen/Qwen3-4B,mrpc,8,mrpc_crossover,rank8,3,0.7434895833333334,0.7265625,0.75390625,1.0,
lora_rank,Qwen/Qwen3-4B,sst2,32,near_tie_large_sst2,rank2,3,0.9166666666666666,0.90234375,0.9296875,0.99609375,
lora_rank,Qwen/Qwen3-4B,sst2,32,near_tie_large_sst2,rank4,3,0.9153645833333334,0.90234375,0.92578125,0.99609375,
